"entropy";"pc";"bfr";"shf";"msi";"used";"blocked";"ratio"
"20.708333";"9.022048";"0.439714";"1.166097";"221.416667";"0.343750";"0";"0.000000"
"36.958333";"1.408049";"0.785565";"1.496665";"334.125000";"0.501302";"0";"0.000000"
"30.500000";"2.178994";"0.691907";"1.367730";"304.166667";"0.502841";"0";"0.000000"
"13.916667";"24.808499";"0.230204";"0.865270";"140.875000";"0.217921";"0";"0.000000"
"30.083333";"2.585303";"0.623337";"1.321033";"314.750000";"0.476089";"0";"0.000000"
"13.250000";"27.708667";"0.215983";"0.810564";"139.041667";"0.225497";"0";"0.000000"
"30.166667";"2.030014";"0.696009";"1.348195";"309.916667";"0.499527";"0";"0.000000"
"38.833333";"1.005595";"0.808465";"1.479405";"344.291667";"0.542495";"0";"0.000000"
"0.500000";"334.704457";"0.000843";"0.014191";"3.500000";"0.010298";"0";"0.360000"
"36.625000";"1.780146";"0.787200";"1.573777";"328.875000";"0.463778";"0";"0.000000"
"4.416667";"158.750877";"0.035283";"0.224480";"40.625000";"0.086056";"0";"0.000000"
"5.333333";"136.678245";"0.042917";"0.271878";"49.500000";"0.104759";"0";"0.000000"
"27.416667";"2.751453";"0.679044";"1.330748";"302.000000";"0.489465";"0";"0.000000"
"26.083333";"4.769258";"0.573031";"1.284774";"274.708333";"0.423769";"0";"0.000000"
"36.583333";"1.801901";"0.793144";"1.600083";"330.041667";"0.455611";"0";"0.000000"
"21.291667";"8.676280";"0.443110";"1.219557";"234.583333";"0.364465";"0";"0.000000"
"24.333333";"6.605345";"0.521004";"1.241893";"248.666667";"0.387192";"0";"0.000000"
"1.250000";"271.446844";"0.010036";"0.064370";"10.333333";"0.021662";"0";"0.000000"
"38.666667";"1.453226";"0.802626";"1.603930";"329.583333";"0.476326";"0";"0.190000"
"36.500000";"1.857918";"0.774818";"1.519489";"326.541667";"0.484257";"0";"0.000000"
"38.208333";"1.357779";"0.801936";"1.583324";"339.166667";"0.486506";"0";"0.000000"
"29.875000";"2.322449";"0.673839";"1.357255";"302.125000";"0.498935";"0";"0.000000"
"27.166667";"3.278314";"0.619962";"1.353772";"287.958333";"0.476918";"0";"0.000000"
"5.791667";"119.502745";"0.063446";"0.350218";"58.291667";"0.110677";"0";"0.000000"
"0.416667";"344.777255";"0.000000";"0.004817";"1.291667";"0.004853";"0";"0.000000"
"4.666667";"124.451152";"0.043322";"0.237184";"35.958333";"0.063920";"0";"0.000000"
"38.041667";"1.382476";"0.780035";"1.550485";"322.375000";"0.488281";"0";"0.000000"
"16.291667";"20.263470";"0.268434";"0.970795";"151.750000";"0.220881";"0";"0.000000"
"36.583333";"1.759784";"0.785078";"1.593760";"330.041667";"0.459517";"0";"0.000000"
"7.166667";"86.154692";"0.107826";"0.474457";"74.833333";"0.119437";"0";"0.000000"
"38.833333";"1.478955";"0.800181";"1.613246";"329.125000";"0.472064";"0";"0.160000"
"20.583333";"8.414853";"0.419642";"1.144022";"228.625000";"0.390625";"0";"0.000000"
"9.250000";"51.422281";"0.124751";"0.546227";"89.208333";"0.149384";"0";"0.000000"
"21.500000";"9.960204";"0.426987";"1.196825";"220.958333";"0.315578";"0";"0.000000"
"20.750000";"11.623522";"0.390040";"1.155916";"203.291667";"0.300426";"0";"0.000000"
"11.041667";"44.416102";"0.163104";"0.676392";"103.041667";"0.156487";"0";"0.000000"
"36.791667";"1.705893";"0.808124";"1.564210";"331.333333";"0.485085";"0";"0.000000"
"17.833333";"15.768867";"0.291980";"1.013033";"170.208333";"0.266335";"0";"0.000000"
"24.875000";"6.431491";"0.495076";"1.281361";"254.750000";"0.373343";"0";"0.000000"
"36.750000";"1.708399";"0.784333";"1.582759";"330.041667";"0.466146";"0";"0.000000"
"4.916667";"112.128668";"0.070518";"0.350349";"59.916667";"0.109967";"0";"0.000000"
"38.666667";"1.278321";"0.788709";"1.550459";"322.000000";"0.494437";"0";"0.150000"
"37.541667";"1.851268";"0.786549";"1.599847";"326.125000";"0.463897";"0";"0.000000"
"23.666667";"5.165110";"0.575845";"1.299009";"267.666667";"0.425071";"0";"0.000000"
"37.250000";"1.737718";"0.787984";"1.609964";"328.166667";"0.459399";"0";"0.000000"
"29.916667";"2.320047";"0.698665";"1.382320";"307.291667";"0.483428";"0";"0.170000"
"17.000000";"15.032020";"0.331185";"1.004780";"185.791667";"0.297348";"0";"0.000000"
"9.166667";"64.383986";"0.146488";"0.613233";"95.708333";"0.148674";"0";"0.000000"
"20.416667";"12.308724";"0.362865";"1.116089";"192.833333";"0.296046";"0";"0.000000"
"24.583333";"5.994215";"0.543576";"1.273636";"264.333333";"0.396780";"0";"0.000000"
"30.083333";"2.550271";"0.622774";"1.315373";"314.750000";"0.477983";"0";"0.000000"
"9.166667";"52.271413";"0.126557";"0.545248";"89.208333";"0.147491";"0";"0.000000"
"38.916667";"1.355596";"0.801341";"1.594857";"329.500000";"0.482126";"0";"0.000000"
"15.875000";"17.463932";"0.292266";"0.970642";"176.000000";"0.286103";"0";"0.000000"
"16.791667";"13.914615";"0.329834";"1.050294";"191.083333";"0.313092";"0";"0.000000"
"41.833333";"0.878679";"0.815400";"1.549069";"337.291667";"0.529356";"0";"0.150000"
"31.458333";"1.455221";"0.691026";"1.225419";"328.083333";"0.573627";"0";"0.450000"
"28.166667";"3.290687";"0.619355";"1.364438";"294.083333";"0.431108";"0";"0.000000"
"21.291667";"7.846215";"0.474351";"1.194464";"229.916667";"0.354877";"0";"0.000000"
"20.041667";"10.132774";"0.411566";"1.164569";"224.041667";"0.353812";"0";"0.000000"
"4.916667";"117.513476";"0.044273";"0.243906";"37.166667";"0.066643";"0";"0.000000"
"39.208333";"1.105586";"0.809089";"1.502081";"342.875000";"0.535275";"0";"0.220000"
"19.375000";"12.520975";"0.340737";"1.094273";"187.041667";"0.291430";"0";"0.000000"
"32.166667";"1.870942";"0.696748";"1.372032";"319.458333";"0.489110";"0";"0.000000"
"23.000000";"5.590372";"0.529659";"1.237320";"257.166667";"0.423532";"0";"0.000000"
"7.208333";"84.972331";"0.105442";"0.462822";"71.750000";"0.112571";"0";"0.000000"
"27.916667";"3.807179";"0.600990";"1.385370";"283.125000";"0.408736";"0";"0.000000"
"7.875000";"56.855395";"0.119796";"0.536067";"88.083333";"0.149740";"0";"0.000000"
"42.500000";"0.810582";"0.814033";"1.548514";"338.208333";"0.527344";"0";"0.000000"
"28.791667";"3.146644";"0.618694";"1.334318";"301.791667";"0.459754";"0";"0.000000"
"32.041667";"1.970616";"0.703555";"1.394647";"319.458333";"0.480942";"0";"0.000000"
"37.625000";"1.868886";"0.785886";"1.595975";"326.125000";"0.464962";"0";"0.000000"
"37.750000";"1.042152";"0.811591";"1.501708";"343.541667";"0.534920";"0";"0.000000"
"16.208333";"15.468203";"0.308553";"1.020052";"181.041667";"0.293797";"0";"0.000000"
"28.000000";"3.344642";"0.620795";"1.366782";"294.083333";"0.429332";"0";"0.000000"
"22.708333";"6.181656";"0.476978";"1.231789";"252.916667";"0.416430";"0";"0.000000"
"29.625000";"1.485777";"0.682355";"1.205511";"325.250000";"0.580966";"0";"0.540000"
"12.833333";"29.156611";"0.202434";"0.789033";"131.791667";"0.217093";"0";"0.000000"
"37.583333";"1.498475";"0.803949";"1.590870";"342.291667";"0.489583";"0";"0.000000"
"16.458333";"19.544722";"0.262365";"0.957732";"151.916667";"0.227628";"0";"0.000000"
"38.625000";"1.312319";"0.789256";"1.555441";"322.000000";"0.492069";"0";"0.180000"
"43.291667";"0.966227";"0.815774";"1.609486";"336.041667";"0.504853";"0";"0.370000"
"36.250000";"1.488077";"0.759564";"1.483908";"331.916667";"0.486624";"0";"0.000000"
"29.541667";"2.364565";"0.680619";"1.310892";"319.708333";"0.521544";"1";"0.070000"
"39.166667";"1.391664";"0.805132";"1.619349";"340.375000";"0.487926";"0";"0.000000"
"37.958333";"1.611037";"0.805777";"1.623477";"330.416667";"0.468040";"0";"0.000000"
"36.583333";"1.360388";"0.800264";"1.592483";"343.125000";"0.478575";"0";"0.000000"
"36.666667";"1.914729";"0.777355";"1.535775";"326.541667";"0.478930";"0";"0.000000"
"7.500000";"76.036811";"0.127855";"0.534367";"84.000000";"0.129261";"0";"0.000000"
"28.791667";"2.947520";"0.616443";"1.353002";"295.625000";"0.444129";"0";"0.000000"
"38.791667";"1.094464";"0.803740";"1.500288";"344.416667";"0.531960";"0";"0.140000"
"15.958333";"16.323850";"0.287766";"0.986347";"173.791667";"0.285748";"0";"0.000000"
"12.291667";"33.644340";"0.201519";"0.768300";"130.958333";"0.210701";"0";"0.000000"
"40.916667";"0.862106";"0.807569";"1.526294";"338.208333";"0.532907";"0";"0.140000"
"36.458333";"1.702887";"0.775495";"1.541682";"326.541667";"0.478693";"0";"0.000000"
"31.208333";"2.400841";"0.698557";"1.357575";"320.958333";"0.491477";"0";"0.230000"
"38.541667";"1.751743";"0.783797";"1.605792";"326.750000";"0.466501";"0";"0.000000"
"16.958333";"13.412152";"0.333419";"1.052760";"193.791667";"0.320904";"0";"0.000000"
"8.583333";"57.831107";"0.111754";"0.501463";"84.958333";"0.148438";"0";"0.000000"
"38.958333";"1.160233";"0.800842";"1.504271";"344.416667";"0.526042";"0";"0.000000"
"27.583333";"3.512238";"0.607975";"1.344120";"291.041667";"0.432647";"0";"0.000000"
"36.875000";"1.455687";"0.783571";"1.490598";"334.166667";"0.497277";"0";"0.150000"
"29.708333";"2.510948";"0.632767";"1.317014";"314.750000";"0.483902";"0";"0.000000"
"1.125000";"271.497063";"0.003517";"0.033405";"5.958333";"0.015152";"0";"0.000000"
"37.083333";"1.637043";"0.794518";"1.552715";"332.583333";"0.480114";"0";"0.000000"
"1.208333";"261.078140";"0.005242";"0.043024";"7.541667";"0.017992";"0";"0.000000"
"22.291667";"6.857221";"0.475050";"1.233813";"249.500000";"0.403291";"0";"0.000000"
"36.125000";"1.676319";"0.799901";"1.551696";"332.625000";"0.482481";"0";"0.000000"
"41.000000";"0.883124";"0.803205";"1.539557";"338.208333";"0.528172";"0";"0.000000"
"38.375000";"1.478024";"0.809898";"1.613804";"331.625000";"0.477391";"0";"0.000000"
"12.333333";"31.777533";"0.207907";"0.789351";"125.375000";"0.187027";"0";"0.000000"
"37.125000";"1.628763";"0.775529";"1.550705";"334.000000";"0.469579";"0";"0.190000"
"23.541667";"4.909394";"0.507301";"1.250674";"264.000000";"0.441880";"0";"0.000000"
"37.833333";"1.283581";"0.806354";"1.582292";"338.583333";"0.489820";"0";"0.160000"
"27.583333";"3.479329";"0.609167";"1.343194";"291.208333";"0.433594";"0";"0.000000"
"37.583333";"1.795940";"0.781209";"1.550739";"326.625000";"0.479877";"0";"0.190000"
"39.416667";"1.117968";"0.812570";"1.487135";"343.500000";"0.544626";"0";"0.000000"
"38.625000";"1.105394";"0.806292";"1.489769";"344.416667";"0.532670";"0";"0.000000"
"37.333333";"1.477154";"0.802576";"1.588149";"339.000000";"0.479285";"0";"0.000000"
"14.750000";"17.704505";"0.309304";"0.964392";"174.708333";"0.272254";"0";"0.000000"
"24.166667";"4.156386";"0.543453";"1.266980";"275.041667";"0.461293";"0";"0.000000"
"12.083333";"33.449512";"0.205841";"0.776553";"123.458333";"0.182173";"0";"0.000000"
"41.208333";"0.831600";"0.807889";"1.515575";"337.375000";"0.536932";"0";"0.000000"
"13.916667";"21.636049";"0.239285";"0.867589";"150.333333";"0.249527";"0";"0.000000"
