"entropy";"pc";"bfr";"shf";"msi";"used";"demandsq";"lockss";"ratio"
"46.000000";"0.122194";"0.849890";"1.043849";"349.000000";"0.746618";"4";"2";"0.720000"
"27.767442";"3.566808";"0.689015";"1.383216";"305.209302";"0.431025";"3";"0";"0.260000"
"42.190476";"0.146726";"0.821866";"0.990242";"348.857143";"0.751623";"8";"4";"0.680000"
"27.441860";"2.675378";"0.684601";"1.262979";"310.790698";"0.494054";"7";"1";"0.260000"
"30.476190";"1.645305";"0.727760";"1.195905";"330.523810";"0.602137";"0";"0";"0.010000"
"8.541667";"61.831748";"0.122616";"0.539610";"91.083333";"0.156368";"5";"0";"0.000000"
"30.916667";"1.039158";"0.750318";"1.250962";"335.083333";"0.582978";"1";"0";"0.140000"
"7.541667";"56.342825";"0.115078";"0.504460";"80.625000";"0.129143";"6";"0";"0.000000"
"31.125000";"1.516452";"0.725493";"1.236116";"325.333333";"0.562382";"9";"2";"0.350000"
"24.375000";"2.527885";"0.639179";"1.212624";"333.041667";"0.508404";"4";"1";"0.010000"
